SA2,HealthStar,Protein,Fat,Carb,Calorie,Sodium,Quantity
Brunswick,0.28,4.9,11.52,38.2,1100.0,444.8,5
Moonee Ponds,0.35,25.0,30.8,30.6,2083.5,726.0,2
Elsternwick,0.4,2.1,8.0,8.0,469.0,19.0,1
St Kilda East,0.4,3.5,11.0,24.0,867.0,80.0,1
Fitzroy,0.55,14.18,9.62,10.32,754.5,453.38,4
Malvern East,0.25,9.22,14.06,21.15,1008.94,347.67,8
Hawthorn East,0.3,3.87,13.1,27.97,1025.33,146.33,3
Ormond - Glen Huntly,0.3,4.0,21.6,51.2,1741.0,232.0,1
Camberwell,0.2,9.6,9.6,57.0,1432.0,96.5,1
Carlton North - Princes Hill,0.3,9.9,8.6,0.7,490.0,790.0,1
Kensington (Vic.),0.8,21.0,0.8,5.0,465.0,667.0,1
Hampton,0.75,14.3,10.7,21.0,974.0,289.45,2
Hughesdale,0.3,4.0,21.6,51.2,1741.0,232.0,1
St Kilda,0.25,6.5,21.5,24.1,1316.5,715.0,2
Melbourne,0.6,0.9,0.5,1.6,62.0,277.0,1
Pascoe Vale South,0.6,6.0,16.0,42.0,1338.0,540.0,1
Malvern - Glen Iris,0.35,3.05,14.8,29.6,1105.0,125.5,2
Brighton (Vic.),0.3,3.12,4.78,26.4,619.75,167.38,4
Caulfield - North,0.4,3.0,7.8,36.5,895.0,412.5,1
Coburg,0.3,11.0,10.0,33.0,1114.0,598.0,1
Ascot Vale,0.5,2.7,4.0,20.4,481.0,778.8,1
Cheltenham - Highett (West),0.3,17.0,14.0,24.0,1231.0,414.0,1
Beaumaris,0.2,11.4,43.8,4.7,1933.0,697.0,1
Burwood,0.4,13.0,4.4,19.0,699.0,666.0,1
Fitzroy North,0.6,10.9,5.45,20.3,699.0,482.75,2
Cheltenham - Highett (East),0.1,4.85,13.9,27.5,944.5,68.75,2
Thornbury,0.35,8.65,9.85,42.05,1196.5,658.25,2
Moorabbin - Heatherton,0.1,21.2,20.4,22.0,1524.0,1919.2,1
Kew East,0.3,3.0,17.0,44.0,1423.0,340.0,1
Northcote,0.7,17.7,22.1,0.0,916.0,57.5,1
Carrum - Patterson Lakes,0.8,18.8,3.1,4.1,503.0,553.0,1
Burwood East,0.4,3.5,11.0,24.0,867.0,80.0,1
Kew,0.6,20.0,20.0,0.1,1117.0,127.1,1
Chelsea - Bonbeach,0.4,2.1,8.0,8.0,469.0,19.0,1
Balwyn North,0.8,12.0,2.4,0.6,303.0,310.0,1
Bulleen,0.8,3.1,14.1,9.4,653.0,750.0,1
Templestowe,0.1,13.2,27.3,23.1,1619.0,543.3,1
Bentleigh East (North),0.1,10.0,16.0,63.0,1825.0,2036.0,1
Doncaster,0.2,11.5,17.15,37.95,1485.5,377.0,2
Bentleigh - McKinnon,0.35,3.75,13.0,30.5,1050.75,116.5,2
